id,IATA,Airport,latitude,longitude,city,hiking,food,nightlife,cost,weather,safety,culture,shopping,beaches,family,romance,adventure,history,arts,parks,walkability,public_transit,cleanliness,outdoors,quiet,trendy,affordability,english_friendly
128668243,AAA,Anaa,-17.3554296117667,-145.509414966269,Anaa,6,10,2,5,3,10,8,9,3,10,2,3,4,5,3,7,3,10,2,10,9,1,9
129052440,AAB,Arrabury,-26.7,141.041667,Arrabury,4,10,9,10,6,1,1,10,7,3,8,9,6,5,10,4,5,3,2,3,3,6,5
154088928,AAD,Adado,6.095833,46.6375,Adado,4,7,6,7,2,8,9,9,5,9,4,9,9,4,5,3,4,9,10,9,1,7,9
128667593,AAE,Annaba,36.821667,7.81,Annaba,7,10,2,7,10,3,6,1,1,1,7,6,10,10,6,6,7,5,8,3,7,6,1
129057725,AAF,Apalachicola,29.72938,-85.0288,Apalachicola,4,2,9,6,5,3,10,2,5,8,3,1,7,2,2,7,4,5,7,10,3,2,4
129053851,AAG,Arapoti,-24.103611,-49.79,Arapoti,3,10,2,2,5,2,7,5,9,5,3,2,7,1,1,2,7,3,2,5,7,3,6
129057414,AAH,Aachen / Merzbruck,50.75,6.133333,Aachen / Merzbruck,8,10,7,6,4,7,8,10,1,3,3,6,4,3,2,10,4,7,2,9,6,5,5
129052979,AAI,Arraias,-12.916667,-46.933333,Arraias,1,5,1,7,5,2,3,10,6,10,2,6,4,1,2,5,2,1,3,9,2,10,3
129056817,AAJ,Awaradam,3.9,-55.366667,Awaradam,4,1,7,1,10,1,4,7,10,1,7,5,1,6,10,6,8,4,3,1,10,7,10
129054485,AAK,Aranuka,0.166667,173.583333,Aranuka,10,10,6,9,5,4,7,3,3,6,8,7,1,7,8,4,6,9,4,10,8,10,1
95673990,AAL,Aalborg,57.093056,9.85,Aalborg,1,3,4,4,2,5,1,1,5,10,3,7,9,9,7,5,4,10,1,10,8,5,6
129055248,AAM,Mala Mala,-24.8,31.533333,Mala Mala,8,7,6,8,4,10,6,9,8,4,1,4,1,2,6,1,1,5,7,2,4,4,4
128667537,AAN,Al Ain,24.25,55.75,Al Ain,3,2,8,3,7,3,5,2,1,3,8,1,3,9,10,2,5,7,10,1,3,1,9
129056450,AAO,Anaco,9.431944,-64.463889,Anaco,7,10,1,5,1,10,5,4,1,9,8,4,1,4,6,9,7,2,6,5,10,4,2
200615313,AAP,AP Tumenggung Pranoto,-0.373611,117.255556,AP Tumenggung Pranoto,7,6,6,8,10,9,1,4,9,3,7,6,10,2,6,9,3,3,3,2,1,9,5
114117387,AAQ,Anapa,45.002097,37.347272,Anapa,1,7,10,8,9,9,1,1,9,9,8,2,6,4,5,9,3,2,5,3,3,2,8
95673987,AAR,Aarhus,56.310278,10.618056,Aarhus,2,10,1,4,1,1,2,1,5,5,4,6,8,3,9,3,8,2,10,2,10,7,9
129053028,AAS,Apalapsili,-3.916667,139.25,Apalapsili,8,5,3,6,7,9,6,2,7,1,8,6,8,6,1,1,3,7,7,9,3,1,7
128668242,AAT,Altay,47.75223,88.08738,Altay,7,2,3,7,1,5,4,2,8,4,5,10,2,10,7,9,3,10,2,1,9,6,1
129056449,AAU,Asau,-13.458333,-172.6,Asau,8,7,10,6,10,4,7,9,6,7,10,2,4,7,8,6,6,10,1,6,8,6,6
129052414,AAV,Alah,6.333333,124.766667,Alah,1,1,3,2,7,3,2,8,1,8,3,3,3,9,1,2,9,4,4,6,6,9,5
129054813,AAW,Abbottabad,34.2,73.25,Abbottabad,7,4,7,2,4,8,5,2,6,8,7,3,7,6,4,9,7,4,7,4,10,10,4
95673908,AAX,Araxa,-19.568056,-46.929167,Araxa,9,10,1,9,3,10,9,9,7,1,1,4,2,6,9,1,1,3,7,4,2,6,1
128668193,AAY,Al Ghaydah,16.2,52.183333,Al Ghaydah,10,7,1,2,2,8,1,1,10,10,4,6,5,5,1,5,7,5,7,6,1,3,9
129057724,AAZ,Quetzaltenango,14.865556,-91.501944,Quetzaltenango,4,2,1,9,3,7,7,1,1,6,5,1,10,3,5,5,10,4,6,2,3,8,10
128668315,ABA,Abakan,53.716667,91.5,Abakan,6,7,7,7,9,10,2,2,3,8,6,6,1,2,7,4,5,9,6,1,4,1,4
128668194,ABB,Asaba International,6.195168,6.729126,Asaba International,8,3,5,1,1,1,7,4,9,8,6,8,9,6,1,10,8,1,4,10,6,6,6
129057413,ABC,Albacete,38.948333,-1.863333,Albacete,1,9,10,4,5,7,1,1,5,2,8,9,9,3,6,4,2,2,6,5,9,3,5
128668050,ABD,Abadan,30.366667,48.233333,Abadan,1,1,4,7,9,2,5,8,8,9,3,1,3,2,6,5,2,3,5,5,10,1,2
95566291,ABE,Allentown,40.654722,-75.438333,Allentown,6,9,5,8,6,1,8,2,2,1,6,9,9,6,7,4,9,9,6,1,10,4,4
129052978,ABF,Abaiang,1.79915027471506,173.039346816365,Abaiang,2,5,6,8,8,5,4,9,4,3,1,8,8,6,7,8,1,5,3,8,2,4,7
129056816,ABG,Abingdon,-17.666667,143.2,Abingdon,3,1,10,7,7,9,7,4,1,10,5,2,9,10,1,4,9,5,8,10,3,5,10
129054484,ABH,Alpha,-23.65,146.633333,Alpha,8,9,4,1,7,7,2,3,3,10,2,8,7,6,10,4,2,1,2,7,7,1,8
95674197,ABI,Abilene Municipal,32.409444,-99.679722,Abilene Municipal,4,10,6,3,5,9,8,10,9,3,4,9,10,10,9,5,10,1,9,6,6,6,7
99539624,ABJ,Abidjan,5.256389,-3.926944,Abidjan,10,1,3,6,9,10,6,4,6,10,7,4,10,10,5,3,2,2,1,9,2,6,4
129053027,ABK,Kabri Dar,6.733889,44.266111,Kabri Dar,7,5,1,7,5,4,5,4,8,6,2,5,3,6,2,4,4,7,5,2,9,3,8
128668475,ABL,Ambler,67.0875,-157.845833,Ambler,9,3,8,8,1,4,6,2,9,1,1,10,2,3,9,10,8,7,8,4,6,9,6
128668196,ABM,Bamaga,-10.866667,142.4,Bamaga,5,10,1,7,3,8,2,5,1,10,4,1,5,2,10,1,5,4,1,3,4,5,3
129056448,ABN,Albina,5.5,-54.083333,Albina,1,8,6,10,4,8,9,6,1,4,7,6,3,5,4,7,7,6,10,10,7,3,1
129055247,ABO,Aboisso,5.433333,-3.216667,Aboisso,6,2,8,10,2,9,10,10,5,8,9,8,4,2,8,2,10,7,4,4,3,2,9
